user_id,track_id,playcount
0d4c7bb92305cf1e4fe6bfbc2a9acaa3d284d603,0Hf4aIJpsN4Os2f0y0VqWl,3
0d4c7bb92305cf1e4fe6bfbc2a9acaa3d284d603,14DLZ9FaTofhnXBiV38axE,2
0d4c7bb92305cf1e4fe6bfbc2a9acaa3d284d603,1QPreu0BNOrUfEb8HTd2qG,5
0d4c7bb92305cf1e4fe6bfbc2a9acaa3d284d603,20I8RduZC2PWMWTDCZuuAN,6
0d4c7bb92305cf1e4fe6bfbc2a9acaa3d284d603,2V65y3PX4DkRhy1djlxd9p,11
0d4c7bb92305cf1e4fe6bfbc2a9acaa3d284d603,3Pbp7cUCx4d3OAkZSCoNvn,9
0d4c7bb92305cf1e4fe6bfbc2a9acaa3d284d603,4HBZA5flZLE435QTztThqH,4
0d4c7bb92305cf1e4fe6bfbc2a9acaa3d284d603,4r6c2ClnuYLwNv4lEM7XlW,8
0d4c7bb92305cf1e4fe6bfbc2a9acaa3d284d603,5B0kgjHULYJhAQkK5XsMoC,6
0d4c7bb92305cf1e4fe6bfbc2a9acaa3d284d603,61dCUoMCg28qEBzrW6htYM,10
0d4c7bb92305cf1e4fe6bfbc2a9acaa3d284d603,78M7CiqTpJYoPQKkwjM48Z,4
0d4c7bb92305cf1e4fe6bfbc2a9acaa3d284d603,7GaFYUqP2WdR4KTPk7cXoP,26
0d4c7bb92305cf1e4fe6bfbc2a9acaa3d284d603,7KQdgW7QzNd9oPoCzjCU76,8
2ebcdda7e5bb29db6385a6705a4b885a4e8be1b5,1EzrEOXmMH3G43AXT1y7pA,10
2ebcdda7e5bb29db6385a6705a4b885a4e8be1b5,2GxrNKugF82CnoRFbQfzPf,10
2ebcdda7e5bb29db6385a6705a4b885a4e8be1b5,2fjqfFUq64thFsqfKN01kS,1
2ebcdda7e5bb29db6385a6705a4b885a4e8be1b5,3DNRdudZ2SstnDCVKFdXxG,40
2ebcdda7e5bb29db6385a6705a4b885a4e8be1b5,3WCXvxgQ7U3mznWsQjiEMu,8
2ebcdda7e5bb29db6385a6705a4b885a4e8be1b5,3vkCueOmm7xQDoJ17W1Pm3,47
2ebcdda7e5bb29db6385a6705a4b885a4e8be1b5,5NLuC70kZQv8q34QyQa1DP,8
2ebcdda7e5bb29db6385a6705a4b885a4e8be1b5,5RHOhXxMVhpEaBcG6hIydA,3
2ebcdda7e5bb29db6385a6705a4b885a4e8be1b5,5fwSHlTEWpluwOM0Sxnh5k,26
2ebcdda7e5bb29db6385a6705a4b885a4e8be1b5,6QgjcU0zLnzq5OrUoSZ3OK,40
2ebcdda7e5bb29db6385a6705a4b885a4e8be1b5,6sy3LkhNFjJWlaeSMNwQ62,43
2ebcdda7e5bb29db6385a6705a4b885a4e8be1b5,6tDxrq4FxEL2q15y37tXT9,49
2ebcdda7e5bb29db6385a6705a4b885a4e8be1b5,792HwhrdO3ErRKL5yRe4Ge,3
2ebcdda7e5bb29db6385a6705a4b885a4e8be1b5,7nVQ8mo77KaUvhUQzh4vMy,8
67c9b563dbae5e4debf83dcf70f8fcace5db37b5,01K4zKU104LyJ8gMb7227B,31
67c9b563dbae5e4debf83dcf70f8fcace5db37b5,0gplL1WMoJ6iYaPgMCL0gX,6
67c9b563dbae5e4debf83dcf70f8fcace5db37b5,1JF8LkQWZ8grXb2emqrNKn,2
67c9b563dbae5e4debf83dcf70f8fcace5db37b5,1hQFF33xi8ruavZNyovtUN,10
67c9b563dbae5e4debf83dcf70f8fcace5db37b5,2YWjW3wwQIBLNhxWKBQd16,5
67c9b563dbae5e4debf83dcf70f8fcace5db37b5,37f4ITSlgPX81ad2EvmVQr,1
67c9b563dbae5e4debf83dcf70f8fcace5db37b5,5Lgcn7u07bHuqbOtXkN62u,8
67c9b563dbae5e4debf83dcf70f8fcace5db37b5,5mCPDVBb16L4XQwDdbRUpz,1
67c9b563dbae5e4debf83dcf70f8fcace5db37b5,5uQ7de4EWjb3rkcFxyEOpu,3
67c9b563dbae5e4debf83dcf70f8fcace5db37b5,64CovjRwInpOJW4PiGMprY,10
67c9b563dbae5e4debf83dcf70f8fcace5db37b5,6ToM0uwxtPKo9CMpbPGYvM,5
6c5f906dce1eaf270bd11f0c3cfcee1dbe72acd3,04KTF78FFg8sOHC1BADqbY,2
6c5f906dce1eaf270bd11f0c3cfcee1dbe72acd3,0GONea6G2XdnHWjNZd6zt3,1
6c5f906dce1eaf270bd11f0c3cfcee1dbe72acd3,0uI7yAKUf52Cn7y3sYyjiX,8
6c5f906dce1eaf270bd11f0c3cfcee1dbe72acd3,1FvDJ9KGxcqwv1utyPL3JZ,39
6c5f906dce1eaf270bd11f0c3cfcee1dbe72acd3,1uGUbgZuO1kD1JZ0UeFupN,9
6c5f906dce1eaf270bd11f0c3cfcee1dbe72acd3,1xK59OXxi2TAAAbmZK0kBL,8
6c5f906dce1eaf270bd11f0c3cfcee1dbe72acd3,2EjXfH91m7f8HiJN1yQg97,5
6c5f906dce1eaf270bd11f0c3cfcee1dbe72acd3,2tUBqZG2AbRi7Q0BIrVrEj,11
6c5f906dce1eaf270bd11f0c3cfcee1dbe72acd3,3AjSfp5FDvwtMU9XBsbS8j,6
6c5f906dce1eaf270bd11f0c3cfcee1dbe72acd3,3MrRksHupTVEQ7YbA0FsZK,16
6c5f906dce1eaf270bd11f0c3cfcee1dbe72acd3,44aTAUBF0g6sMkMNE8I5kd,3
6c5f906dce1eaf270bd11f0c3cfcee1dbe72acd3,5hJFhO9dvhJoDvUZZ9iWSw,5
6c5f906dce1eaf270bd11f0c3cfcee1dbe72acd3,5kqIPrATaCc2LqxVWzQGbk,7
6c5f906dce1eaf270bd11f0c3cfcee1dbe72acd3,6kvoHl80mfCVTv7XnZkjQn,8
6c5f906dce1eaf270bd11f0c3cfcee1dbe72acd3,6qLEOZvf5gI7kWE63JE7p3,3
6c5f906dce1eaf270bd11f0c3cfcee1dbe72acd3,79s5XnCN4TJKTVMSmOx8Ep,8
6c5f906dce1eaf270bd11f0c3cfcee1dbe72acd3,7xQAfvXzm3AkraOtGPWIZg,7
6c5f906dce1eaf270bd11f0c3cfcee1dbe72acd3,7yrTny7FLWLbfIzsxoicWj,29
6fc94a3d0b3ee9fdbcede27c2cdb642dfceb8ab2,0DMRKqrpd0QO4RWiEdMib0,3
6fc94a3d0b3ee9fdbcede27c2cdb642dfceb8ab2,1UdzJEpgJxtuXAlCOvD4S0,8
6fc94a3d0b3ee9fdbcede27c2cdb642dfceb8ab2,2KcNrONbZ0hvBPjvrDO2tx,5
6fc94a3d0b3ee9fdbcede27c2cdb642dfceb8ab2,2PYlRGF5Wi5sDobsLH5gLX,9
6fc94a3d0b3ee9fdbcede27c2cdb642dfceb8ab2,2QdSb68BzZGMgCbsrFmSLc,10
6fc94a3d0b3ee9fdbcede27c2cdb642dfceb8ab2,3C0nOe05EIt1390bVABLyN,2
6fc94a3d0b3ee9fdbcede27c2cdb642dfceb8ab2,3MldGIMtPcupNBI4Dnxolr,26
6fc94a3d0b3ee9fdbcede27c2cdb642dfceb8ab2,3Pbp7cUCx4d3OAkZSCoNvn,17
6fc94a3d0b3ee9fdbcede27c2cdb642dfceb8ab2,3koCCeSaVUyrRo3N2gHrd8,9
6fc94a3d0b3ee9fdbcede27c2cdb642dfceb8ab2,3wo3d0I5H8KjkwGvnz8WbB,3
6fc94a3d0b3ee9fdbcede27c2cdb642dfceb8ab2,6Tguhaf2uAe6OjRLsR2Tql,9
6fc94a3d0b3ee9fdbcede27c2cdb642dfceb8ab2,6ihL9TjfRjadfEePzXXyVF,18
6fc94a3d0b3ee9fdbcede27c2cdb642dfceb8ab2,6uFn47ACjqYkc0jADwEdj1,32
6fc94a3d0b3ee9fdbcede27c2cdb642dfceb8ab2,7KA4W4McWYRpgf0fWsJZWB,9
6fc94a3d0b3ee9fdbcede27c2cdb642dfceb8ab2,7snnTlaWaN39nfN1PhUaT8,7
7281decf7f5c642aecaa5fbd31317f45fe21cdcb,06s3QtMJVXw1AJX3UfvZG1,2
7281decf7f5c642aecaa5fbd31317f45fe21cdcb,0KKkJNfGyhkQ5aFogxQAPU,10
7281decf7f5c642aecaa5fbd31317f45fe21cdcb,0KQx6HOpJueiSkztcS0r7D,34
7281decf7f5c642aecaa5fbd31317f45fe21cdcb,0gplL1WMoJ6iYaPgMCL0gX,33
7281decf7f5c642aecaa5fbd31317f45fe21cdcb,1lx8ddGT5wCD6W2xmLeRKG,9
7281decf7f5c642aecaa5fbd31317f45fe21cdcb,1vYXt7VSjH9JIM5oRRo7vA,7
7281decf7f5c642aecaa5fbd31317f45fe21cdcb,2WfaOiMkCvy7F5fcp2zZ8L,3
7281decf7f5c642aecaa5fbd31317f45fe21cdcb,2YWjW3wwQIBLNhxWKBQd16,5
7281decf7f5c642aecaa5fbd31317f45fe21cdcb,2Z8WuEywRWYTKe1NybPQEW,13
7281decf7f5c642aecaa5fbd31317f45fe21cdcb,3QaPy1KgI7nu9FJEQUgn6h,6
7281decf7f5c642aecaa5fbd31317f45fe21cdcb,3aQz0z86zrKjd1mcZlonxE,45
7281decf7f5c642aecaa5fbd31317f45fe21cdcb,4arNFfHtD5FPYcpUUiUOM1,1
